player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
43,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,No medal
44,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
45,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal
46,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
47,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Rings,No medal
48,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
49,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,No medal
50,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
51,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,No medal
52,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,No medal
53,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,No medal
54,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
55,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,No medal
56,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
57,Timo Aaltonen,M,Finland,FIN,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,No medal
58,Win Aaltonen,M,Finland,FIN,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
79,Ragnhild Aamodt,F,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
80,Andreea Aanei,F,Romania,ROU,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,No medal
81,Fritz Aanes,M,Norway,NOR,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
82,Fritz Aanes,M,Norway,NOR,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
86,Alf Aanning,M,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
88,Johan Aantjes,M,Netherlands,NED,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal
89,Jan-Erik Aarberg,M,Norway,NOR,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,No medal
90,Jan-Erik Aarberg,M,Norway,NOR,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,No medal
91,Willemien Aardenburg,F,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
92,Pepijn Aardewijn,M,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
93,Pepijn Aardewijn,M,Netherlands,NED,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,No medal
94,Evald (rman-),M,Estonia,EST,1936,Summer,Berlin,Athletics,Athletics Men's Pole Vault,No medal
95,Olav Aarnes,M,Norway,NOR,1912,Summer,Stockholm,Athletics,Athletics Men's High Jump,No medal
96,Mika Aarnikka,M,Finland,FIN,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
97,Mika Aarnikka,M,Finland,FIN,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
98,Jamale (ahrass-),M,France,FRA,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",No medal
100,Stefan Aartsen,M,Netherlands,NED,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No medal
101,Stefan Aartsen,M,Netherlands,NED,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,No medal
102,Stefan Aartsen,M,Netherlands,NED,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
103,Stefan Aartsen,M,Netherlands,NED,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No medal
104,Stefan Aartsen,M,Netherlands,NED,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,No medal
105,Ann Aarnes,F,Norway,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
106,Karl Aas,M,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
107,Lars Aas,M,Norway,NOR,1912,Summer,Stockholm,Fencing,"Fencing Men's Foil, Individual",No medal
108,Lars Aas,M,Norway,NOR,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Individual",No medal
109,Lars Aas,M,Norway,NOR,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",No medal
116,Rolf Aas,M,Norway,NOR,1920,Summer,Antwerpen,Football,Football Men's Football,No medal
117,Thomas Aas,M,Taifun,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
118,Morten Aasen,M,Norway,NOR,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
124,Hakon Aasns,M,Norway,NOR,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
125,Hans Aasns,M,Norway,NOR,1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
126,Hans Aasns,M,Norway,NOR,1948,Summer,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
127,Hans Aasns,M,Norway,NOR,1952,Summer,Helsinki,Shooting,Shooting Men's Trap,No medal
128,Hans Aasns,M,Norway,NOR,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,No medal
129,Hans Aasns,M,Norway,NOR,1960,Summer,Roma,Shooting,Shooting Men's Trap,No medal
130,Erling Aastad,M,Norway,NOR,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
131,Erling Aastad,M,Norway,NOR,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,No medal
132,Erling Aastad,M,Norway,NOR,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,No medal
133,Erling Aastad,M,Norway,NOR,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,No medal
134,Abdelhak Aatakni,M,Morocco,MAR,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,No medal
135,Moonika Aava,F,Estonia,EST,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,No medal
136,Moonika Aava,F,Estonia,EST,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,No medal
137,Arvi Aavik,M,Estonia,EST,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
138,Arvi Aavik,M,Estonia,EST,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
139,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,No medal
140,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,No medal
141,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,No medal
142,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
143,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,No medal
144,Nstor Sanjun,M,Spain,ESP,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
145,Patrick Abada,M,France,FRA,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,No medal
146,Talaat Abada,M,Egypt,EGY,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,No medal
147,Mohamed Abadi,M,Iran,IRI,1948,Summer,London,Boxing,Boxing Men's Heavyweight,No medal
148,Antonio Beci,M,Spain,ESP,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal
149,Ren Abadie,M,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",No medal
150,Ren Abadie,M,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
151,Borislav Abadzhiev,M,Bulgaria,BUL,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,No medal
152,Georgi Abadzhiev,M,Bulgaria,BUL,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",No medal
153,Georgi Abadzhiev,M,Bulgaria,BUL,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Team",No medal
154,Ivan Abadzhiev,M,Bulgaria,BUL,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal
155,Ivan Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
156,Mikhail Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
157,Stefan Abadzhiev,M,Bulgaria,BUL,1960,Summer,Roma,Football,Football Men's Football,No medal
158,Giovanni Abagnale,M,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Jos Gmez,M,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
160,M'Bairo Abakar,M,Chad,CHA,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
161,Patimat Abakarova,F,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
162,Mohamed Abakkar,M,Sudan,SUD,1972,Summer,Munich,Boxing,Boxing Men's Flyweight,No medal
163,Mariya (-tarabina),F,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
164,Mariya (-tarabina),F,Russia,RUS,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,No medal
165,Pablo Abal,M,Argentina,ARG,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No medal
166,Pablo Abal,M,Argentina,ARG,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
167,Tamara Daz,F,Spain,ESP,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,No medal
168,Jess Martnez,M,Cuba,CUB,2000,Summer,Sydney,Diving,Diving Men's Platform,No medal
169,Juan Delgado,M,Cuba,CUB,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",No medal
170,Juan Delgado,M,Cuba,CUB,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal
171,Aleksey Abalmasov,M,Belarus,BLR,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal
172,Aleksey Abalmasov,M,Belarus,BLR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,Luc Abalo,M,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,Luc Abalo,M,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,Luc Abalo,M,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
176,Mara Abalo,F,Argentina,ARG,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,No medal
177,Giorgos Abalof,M,Greece,GRE,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",No medal
178,Jouan Etong,M,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
179,Antoine Abang,M,Cameroon,CMR,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,No medal
180,Salim Abanoz,M,Turkey,TUR,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,No medal
181,Carlos Gonzlez,M,Chile,CHI,1924,Summer,Paris,Boxing,Boxing Men's Featherweight,No medal
182,Jos Plotas,M,Spain,ESP,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
183,Georgios Abaris,M,Greece,GRE,2004,Summer,Athina,Football,Football Men's Football,No medal
184,Enrique Martnez,M,Mexico,MEX,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,No medal
185,Carlos Chavez,M,Chile,CHI,1992,Summer,Barcelona,Shooting,Shooting Mixed Skeet,No medal
186,Stephen Abas,M,United States,USA,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
187,Alejandro Garca,M,Spain,ESP,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal
188,Alejandro Garca,M,Spain,ESP,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
189,Alejandro Garca,M,Spain,ESP,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal
190,Jos Gmez,M,Spain,ESP,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",No medal
191,Jos Gmez,M,Spain,ESP,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
192,Rost'om Abashidze,M,Soviet Union,URS,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
193,Nunu (-myslaieva),F,Soviet Union,URS,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,No medal
194,Rodrigo Abasolo,M,Chile,CHI,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,No medal
195,Tamila Abasova,F,Russia,RUS,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
196,Tamila Abasova,F,Russia,RUS,2004,Summer,Athina,Cycling,Cycling Women's 500 metres Time Trial,No medal
197,Emanuele Abate,M,Italy,ITA,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,No medal
198,Ignazio Abate,M,Italy,ITA,2008,Summer,Beijing,Football,Football Men's Football,No medal
199,Jol Abati,M,France,FRA,2004,Summer,Athina,Handball,Handball Men's Handball,No medal
200,Jol Abati,M,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
201,Ral Abatte,M,Chile,CHI,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,No medal
202,Georgia Abatzidou,F,Greece,GRE,2004,Summer,Athina,Athletics,Athletics Women's Marathon,No medal
203,Carlos Balladares,M,Nicaragua,NCA,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,No medal
204,Carlos Abaunza,M,Nicaragua,NCA,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,No medal
205,Hctor Abaunza,M,Mexico,MEX,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Individual",No medal
206,Hctor Abaunza,M,Mexico,MEX,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Team",No medal
207,Hctor Abaunza,M,Mexico,MEX,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",No medal
208,Pter Abay,M,Hungary,HUN,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
209,Oszkr Abay-nemes,M,Hungary,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,No medal
210,Oszkr Abay-nemes,M,Hungary,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
211,Adeyemi Abayomi,M,Nigeria,NGR,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,No medal
212,Sayed Abaza,M,Egypt,EGY,1920,Summer,Antwerpen,Football,Football Men's Football,No medal
213,Sayed Abaza,M,Egypt,EGY,1928,Summer,Amsterdam,Football,Football Men's Football,No medal
214,Silvano Abba,M,Italy,ITA,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
215,Gana Kimet,M,Chad,CHA,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,No medal
216,Ilyas Abbadi,M,Algeria,ALG,2012,Summer,London,Boxing,Boxing Men's Welterweight,No medal
217,Ilyas Abbadi,M,Algeria,ALG,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,No medal
218,Agostino Abbagnale,M,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
219,Agostino Abbagnale,M,Italy,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
220,Agostino Abbagnale,M,Italy,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
221,Carmine Abbagnale,M,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
222,Carmine Abbagnale,M,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
223,Carmine Abbagnale,M,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
224,Carmine Abbagnale,M,Italy,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,No medal
225,Giuseppe Abbagnale,M,Italy,ITA,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Pairs,No medal
226,Giuseppe Abbagnale,M,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
227,Giuseppe Abbagnale,M,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
228,Giuseppe Abbagnale,M,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
229,Abdul Hashem,M,Kuwait,KUW,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,No medal
230,Abdul Hashem,M,Kuwait,KUW,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
231,Abdul Hashem,M,Kuwait,KUW,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,No medal
232,Abubakar Abbas,M,Bahrain,BRN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,No medal
233,Aqarab Abbas,M,Pakistan,PAK,1996,Summer,Atlanta,Athletics,Athletics Men's Hammer Throw,No medal
234,Aziz Abbas,M,Iraq,IRQ,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,No medal
235,Bassim Al-ogaili,M,Iraq,IRQ,2004,Summer,Athina,Football,Football Men's Football,No medal
236,Essa Hashem,M,Kuwait,KUW,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,No medal
237,Ghulam Abbas,M,Pakistan,PAK,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,No medal
238,Hosni Abbas,M,United Arab Republic,UAR,1960,Summer,Roma,Weightlifting,Weightlifting Men's Featherweight,No medal
239,Hosni Abbas,M,Egypt,EGY,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,No medal
240,Maher Abbas,M,Lebanon,LIB,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,No medal
241,Maher Abbas,M,Lebanon,LIB,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,No medal
242,Mahmoud Abbas,M,Egypt,EGY,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",No medal
243,Mohamed Abbas,M,Egypt,EGY,1952,Summer,Helsinki,Diving,Diving Men's Platform,No medal
244,Mohammed Sabih,M,Iraq,IRQ,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,No medal
246,Nader Abbas,M,Qatar,QAT,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,No medal
247,Sohail Abbas,M,Pakistan,PAK,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,No medal
248,Sohail Abbas,M,Pakistan,PAK,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No medal
249,Sohail Abbas,M,Pakistan,PAK,2012,Summer,London,Hockey,Hockey Men's Hockey,No medal
250,Youssef Abbas,M,Egypt,EGY,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,No medal
251,Zulkifli Abbas,M,Malaysia,MAS,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,No medal
253,Shakeel Abbasi,M,Pakistan,PAK,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No medal
254,Shakeel Abbasi,M,Pakistan,PAK,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,No medal
255,Shakeel Abbasi,M,Pakistan,PAK,2012,Summer,London,Hockey,Hockey Men's Hockey,No medal
256,Soulmaz Azad,F,Iran,IRI,2012,Summer,London,Rowing,Rowing Women's Single Sculls,No medal
257,Ruslan Abbasov,M,Azerbaijan,AZE,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,No medal
258,Tural Abbasov,M,Azerbaijan,AZE,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,No medal
259,Tran Abbasova,F,Azerbaijan,AZE,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Featherweight,No medal
260,Simona Abbate,F,Italy,ITA,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,No medal
261,Franz Abb,M,Germany,GER,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,No medal
262,Christian Abbiati,M,Italy,ITA,2000,Summer,Sydney,Football,Football Men's Football,No medal
263,Lois Abbingh,F,Netherlands,NED,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,No medal
264,Alessandro Abbio,M,Italy,ITA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,No medal
267,Salwan Abbood,M,Iraq,IRQ,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,No medal
268,George Abbot,M,Thessalonki-1,GRE,1906,Summer,Athina,Football,Football Men's Football,Bronze
269,William Jr.,M,Canada,CAN,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal
270,William Jr.,M,Canada,CAN,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal
271,Clare Abbott,F,Ireland,IRL,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal
272,Clare Abbott,F,Ireland,IRL,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal
273,David Abbott,M,United States,USA,1928,Summer,Amsterdam,Athletics,"Athletics Men's 5,000 metres",No medal
274,Desmond Abbott,M,Australia,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
275,Geoffrey Abbott,M,South Africa,RSA,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,No medal
279,Jeremy Abbott,M,Canada,CAN,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal
280,Joanne Abbott,F,Canada,CAN,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal
281,Kathryn Abbott,F,Canada,CAN,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,No medal
282,Mara Abbott,F,United States,USA,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",No medal
283,Margaret (-dunne),F,United States,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
284,Mary (perkins-),F,United States,USA,1900,Summer,Paris,Golf,Golf Women's Individual,No medal
285,Matt Abbott,M,Canada,CAN,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal
286,Monica Abbott,F,United States,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
287,Khadija Abbouda,F,Morocco,MAR,2008,Summer,Beijing,Archery,Archery Women's Individual,No medal
288,Mohamed Mohamed,M,Egypt,EGY,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
289,Mohamed Mohamed,M,Egypt,EGY,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
290,Mohamed Mohamed,M,Egypt,EGY,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No medal
291,Mahmoud El-kader,M,Egypt,EGY,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,No medal
292,Mohamed El-salam,M,Egypt,EGY,2004,Summer,Athina,Handball,Handball Men's Handball,No medal
293,Mohamed El-salam,M,Egypt,EGY,2008,Summer,Beijing,Handball,Handball Men's Handball,No medal
294,Noha Rabo,F,Egypt,EGY,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,No medal
295,Reem El-bossaty,F,Egypt,EGY,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,No medal
296,Reem El-bossaty,F,Egypt,EGY,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,No medal
297,Reem El-bossaty,F,Egypt,EGY,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal
298,Ali Afringi,M,Eritrea,ERI,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",No medal
299,Hossam Abdalla,M,Egypt,EGY,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,No medal
300,Hosam Abdallah,M,Egypt,EGY,1992,Summer,Barcelona,Handball,Handball Men's Handball,No medal
301,Hosam Abdallah,M,Egypt,EGY,1996,Summer,Atlanta,Handball,Handball Men's Handball,No medal
